"pred_decade","RLD","lost","retained","prev","q"
2020,"endangered",0,12,0.0868239275267429,"min"
2020,"endangered",0,12,0.0868239275267429,"q5"
2020,"endangered",0,12,0.0868239275267429,"q25"
2020,"endangered",0,12,0.0868239275267429,"median"
2020,"endangered",0,12,0.0868239275267429,"q75"
2020,"endangered",0,12,0.0868239275267429,"q95"
2020,"endangered",0,12,0.0868239275267429,"max"
2020,"not_on_list",0,213,0.194566747596978,"min"
2020,"not_on_list",0,213,0.194566747596978,"q5"
2020,"not_on_list",0,213,0.194566747596978,"q25"
2020,"not_on_list",0,213,0.194566747596978,"median"
2020,"not_on_list",0,213,0.194566747596978,"q75"
2020,"not_on_list",0,213,0.194566747596978,"q95"
2020,"not_on_list",0,213,0.194566747596978,"max"
2020,"rare",0,3,0.0939774766541811,"min"
2020,"rare",0,3,0.0939774766541811,"q5"
2020,"rare",0,3,0.0939774766541811,"q25"
2020,"rare",0,3,0.0939774766541811,"median"
2020,"rare",0,3,0.0939774766541811,"q75"
2020,"rare",0,3,0.0939774766541811,"q95"
2020,"rare",0,3,0.0939774766541811,"max"
2020,"warning",0,20,0.220399009330616,"min"
2020,"warning",0,20,0.220399009330616,"q5"
2020,"warning",0,20,0.220399009330616,"q25"
2020,"warning",0,20,0.220399009330616,"median"
2020,"warning",0,20,0.220399009330616,"q75"
2020,"warning",0,20,0.220399009330616,"q95"
2020,"warning",0,20,0.220399009330616,"max"
2050,"endangered",0,12,0.0776742520816319,"min"
2050,"endangered",0,12,0.0778458994724296,"q5"
2050,"endangered",0,12,0.0806929027091098,"q25"
2050,"endangered",0,12,0.093019177927954,"median"
2050,"endangered",0,12,0.100540487807888,"q75"
2050,"endangered",0,12,0.102914361775555,"q95"
2050,"endangered",0,12,0.105793730850413,"max"
2050,"not_on_list",0,207,0.178951153421219,"min"
2050,"not_on_list",0,207,0.17904753520991,"q5"
2050,"not_on_list",0,207.75,0.180912688925419,"q25"
2050,"not_on_list",2,211,0.192823078415073,"median"
2050,"not_on_list",5.25,213,0.201797677665353,"q75"
2050,"not_on_list",6,213,0.203400263522883,"q95"
2050,"not_on_list",6,213,0.207430576507548,"max"
2050,"rare",0,3,0.0694806581943844,"min"
2050,"rare",0,3,0.0716506105117687,"q5"
2050,"rare",0,3,0.0723114038030414,"q25"
2050,"rare",0,3,0.0796121536301023,"median"
2050,"rare",0,3,0.0920861356413478,"q75"
2050,"rare",0,3,0.0927015830196522,"q95"
2050,"rare",0,3,0.0929803292822775,"max"
2050,"warning",0,20,0.166331816404578,"min"
2050,"warning",0,20,0.173839081004921,"q5"
2050,"warning",0,20,0.175859649193838,"q25"
2050,"warning",0,20,0.182777431385387,"median"
2050,"warning",0,20,0.193970670911291,"q75"
2050,"warning",0,20,0.196853566247834,"q95"
2050,"warning",0,20,0.197045459277751,"max"
2100,"endangered",0,7,0.0468416340260924,"min"
2100,"endangered",0,7,0.0485120101118301,"q5"
2100,"endangered",0,7,0.0533912698706485,"q25"
2100,"endangered",2,10,0.0659744474238046,"median"
2100,"endangered",5,12,0.0809395144902556,"q75"
2100,"endangered",5,12,0.0846941396962595,"q95"
2100,"endangered",5,12,0.0881853653006596,"max"
2100,"not_on_list",12,160,0.156927760739027,"min"
2100,"not_on_list",12,161,0.15770356926579,"q5"
2100,"not_on_list",13,163,0.158380488010352,"q25"
2100,"not_on_list",31,182,0.172156209892402,"median"
2100,"not_on_list",50,200,0.186613704936508,"q75"
2100,"not_on_list",52,201,0.188636580650527,"q95"
2100,"not_on_list",53,201,0.190706810898995,"max"
2100,"rare",0,1,2.69916148620459e-06,"min"
2100,"rare",0,1,6.16951196846762e-06,"q5"
2100,"rare",0,1,8.86867345467221e-06,"q25"
2100,"rare",1,2,0.0225723163201329,"median"
2100,"rare",2,3,0.0459991100478985,"q75"
2100,"rare",2,3,0.0466268000515154,"q95"
2100,"rare",2,3,0.0469465157295564,"max"
2100,"warning",1,14,0.143179199644636,"min"
2100,"warning",1,14,0.143400584869735,"q5"
2100,"warning",1,14,0.144607017511389,"q25"
2100,"warning",3.5,16.5,0.161384716113763,"median"
2100,"warning",6,19,0.179422846011295,"q75"
2100,"warning",6,19,0.180779926567384,"q95"
2100,"warning",6,19,0.182290338775614,"max"
