"pred_decade","RLD","lost","retained","prev","q"
2050,"endangered",0,7,0.0535292886012868,"min"
2050,"endangered",0,7,0.054108200900903,"q5"
2050,"endangered",0,7.75,0.0754775563758436,"q25"
2050,"endangered",0,8,0.0846774916538071,"median"
2050,"endangered",0.25,8,0.0883588466752886,"q75"
2050,"endangered",1,8,0.0935412801081824,"q95"
2050,"endangered",1,8,0.100769000747282,"max"
2050,"not_on_list",0,138,0.143023278636064,"min"
2050,"not_on_list",0,140,0.1432744029262,"q5"
2050,"not_on_list",0,146,0.158547496986349,"q25"
2050,"not_on_list",1,150,0.172849880007844,"median"
2050,"not_on_list",5,151,0.180981085471392,"q75"
2050,"not_on_list",11,151,0.186004589013747,"q95"
2050,"not_on_list",13,151,0.191318277058166,"max"
2050,"rare",0,1,5.51400132181794e-05,"min"
2050,"rare",0,1,6.01334619676579e-05,"q5"
2050,"rare",0,2.75,0.0479296853009064,"q25"
2050,"rare",0,3,0.0731470834788953,"median"
2050,"rare",0.25,3,0.0895459354869557,"q75"
2050,"rare",2,3,0.10216875697444,"q95"
2050,"rare",2,3,0.103501660755503,"max"
2050,"warning",0,10,0.107409950188903,"min"
2050,"warning",0,11,0.114652190870819,"q5"
2050,"warning",0,11.75,0.117556869404542,"q25"
2050,"warning",0,12,0.123243327865603,"median"
2050,"warning",0.25,12,0.133653945518582,"q75"
2050,"warning",1,12,0.144131796392224,"q95"
2050,"warning",2,12,0.145379344011216,"max"
2100,"endangered",0,4,0.0483147978058131,"min"
2100,"endangered",0,4,0.0495687366536104,"q5"
2100,"endangered",0,5,0.0540278622872386,"q25"
2100,"endangered",0.5,7.5,0.0600100235289763,"median"
2100,"endangered",3,8,0.0721758070878438,"q75"
2100,"endangered",4,8,0.0780022146619994,"q95"
2100,"endangered",4,8,0.0807686479283164,"max"
2100,"not_on_list",3,103,0.137982238332548,"min"
2100,"not_on_list",4,104,0.138388260912073,"q5"
2100,"not_on_list",9.5,123.75,0.139207626365612,"q25"
2100,"not_on_list",15.5,135.5,0.153935481634009,"median"
2100,"not_on_list",27.25,141.5,0.173371853661893,"q75"
2100,"not_on_list",47,147,0.179205651866421,"q95"
2100,"not_on_list",48,148,0.179911242683785,"max"
2100,"rare",0,0,0,"min"
2100,"rare",0,0,0,"q5"
2100,"rare",0,1,2.40996561268267e-06,"q25"
2100,"rare",1,2,0.0224543244037359,"median"
2100,"rare",2,3,0.0546108811682588,"q75"
2100,"rare",3,3,0.0787384736164677,"q95"
2100,"rare",3,3,0.0796784758837633,"max"
2100,"warning",0,7,0.082912746134608,"min"
2100,"warning",0,7,0.083413614107823,"q5"
2100,"warning",0.75,9.25,0.0896336100359451,"q25"
2100,"warning",1,11,0.106846693025907,"median"
2100,"warning",2.75,11.25,0.113713576743716,"q75"
2100,"warning",5,12,0.115447011989675,"q95"
2100,"warning",5,12,0.11699862497002,"max"
