"pred_decade","RLD","lost","retained","prev","q"
2050,"endangered",0,11,0.0509132227294075,"min"
2050,"endangered",0,11,0.0515036016454088,"q5"
2050,"endangered",0,12,0.0722504316730405,"q25"
2050,"endangered",0,12,0.0857176087125848,"median"
2050,"endangered",0,12,0.0925617182553546,"q75"
2050,"endangered",1,12,0.101898137115861,"q95"
2050,"endangered",1,12,0.105793730850413,"max"
2050,"not_on_list",0,200,0.162486393266264,"min"
2050,"not_on_list",0,202,0.162714899552796,"q5"
2050,"not_on_list",0,206,0.175872963405268,"q25"
2050,"not_on_list",2,211,0.18849479646742,"median"
2050,"not_on_list",7,213,0.196010090258548,"q75"
2050,"not_on_list",11,213,0.202977339132718,"q95"
2050,"not_on_list",13,213,0.207430576507548,"max"
2050,"rare",0,1,6.40086866728516e-05,"min"
2050,"rare",0,1,7.01396391915163e-05,"q5"
2050,"rare",0,2.75,0.0521299661679387,"q25"
2050,"rare",0,3,0.0796121536301023,"median"
2050,"rare",0.25,3,0.096614171831705,"q75"
2050,"rare",2,3,0.109264659724423,"q95"
2050,"rare",2,3,0.110421154022637,"max"
2050,"warning",0,18,0.166331816404578,"min"
2050,"warning",0,19,0.174624782813899,"q5"
2050,"warning",0,19.75,0.18018411076896,"q25"
2050,"warning",0,20,0.190724591828944,"median"
2050,"warning",0.25,20,0.194082662013312,"q75"
2050,"warning",1,20,0.197048336776692,"q95"
2050,"warning",2,20,0.198019586658122,"max"
2100,"endangered",0,7,0.0465643915820094,"min"
2100,"endangered",0,7,0.0479222433270944,"q5"
2100,"endangered",0,8.75,0.0518734494281248,"q25"
2100,"endangered",0.5,11.5,0.0659744474238046,"median"
2100,"endangered",3.25,12,0.0886820110141213,"q75"
2100,"endangered",5,12,0.0946416294375179,"q95"
2100,"endangered",5,12,0.0980035652067288,"max"
2100,"not_on_list",7,160,0.156927760739027,"min"
2100,"not_on_list",7,161.95,0.157809497505307,"q5"
2100,"not_on_list",11.25,185.25,0.159114905683206,"q25"
2100,"not_on_list",16,197,0.173080029138779,"median"
2100,"not_on_list",27.75,201.75,0.191811222785433,"q75"
2100,"not_on_list",51.05,206,0.197829919513177,"q95"
2100,"not_on_list",53,206,0.198449809103026,"max"
2100,"rare",0,1,2.31356698817536e-06,"min"
2100,"rare",0,1,3.08475598423381e-06,"q5"
2100,"rare",0,1,5.97671471945301e-06,"q25"
2100,"rare",1,2,0.0225723163201329,"median"
2100,"rare",2,3,0.0557128138450018,"q75"
2100,"rare",2,3,0.0831472454285844,"q95"
2100,"rare",2,3,0.0841409610094555,"max"
2100,"warning",0,14,0.143179199644636,"min"
2100,"warning",0,14,0.144115156061661,"q5"
2100,"warning",0.75,16.25,0.157486890751053,"q25"
2100,"warning",1,19,0.170398835813092,"median"
2100,"warning",3.75,19.25,0.185035964398831,"q75"
2100,"warning",6,20,0.195205248095356,"q95"
2100,"warning",6,20,0.195916380748346,"max"
