"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"cover_2050",0.0121419671810383,0.565095610091518,0.00674458205422847,0.00706728953328142,0.0138118715875099,0.48831774980645,0.51168225019355,0,0.978513428587648,1
"richness_2050",0.0269141368010903,0.652583253235019,0.00292933107490641,0.0265733205215875,0.0295026515964939,0.0992904337878067,0.900709566212193,-1.11022302462516e-16,0.958757542937748,1
"temp_2050",0.0503949518393453,0.785581558781373,0.00429445343318276,0.0506653401053507,0.0549597935385334,0.0781380925343512,0.921861907465649,0,0.935850133858132,1
"cover_2100",0.0161033255544777,0.376239913099792,0.00382695610796499,0.0092260449689135,0.0161033255544777,0.237650049054673,0.572927929557266,0.189422021388061,0.957199316197464,1
"richness_2100",0.0480450284548318,0.493820296707054,0.00181619190739946,0.0477126500652957,0.0495288419726952,0.036669379599077,0.963330620400923,0,0.902707465093657,1
"temp_2100",0.116445205621046,0.637441824497157,0.00726347471945186,0.115177968054335,0.122441442773787,0.0593220281867411,0.940677971813259,-1.11022302462516e-16,0.817324183719977,1
"cover_2050",0.00932080722760236,0.555996048608236,0.00417055767719599,0.00620157528718297,0.010372132964379,0.402092577439852,0.597907422560148,0,0.983235839083867,2
"richness_2050",0.0253268942328234,0.648881317648563,0.00214284735263995,0.0251844641268521,0.0273273114794921,0.0784141299171731,0.921585870082827,0,0.9609683719596,2
"temp_2050",0.0503793861958697,0.787616762968046,0.00347188400258303,0.0505410091680202,0.0540128931706033,0.0642788008340316,0.935721199165968,0,0.936035660279727,2
"cover_2100",0.0188427465650702,0.392937513307337,0.00453787328369161,0.00978781758486943,0.0188427465650702,0.240828653509765,0.519447499390222,0.239723847100013,0.95204645541101,2
"richness_2100",0.0471905925433665,0.495404480908824,0.00143863151121213,0.0470163714063561,0.0484550029175682,0.0296900510698458,0.970309948930154,1.11022302462516e-16,0.904743307010879,2
"temp_2100",0.116258134058926,0.64055885869472,0.007898327172088,0.115111769252937,0.123010096425025,0.0642087714881361,0.935791228511864,0,0.818505149868933,2
"cover_2050",0.0295286936686571,0.479378941356227,0.0255854883032506,0.00915605591021136,0.034741544213462,0.736452247086257,0.263547752913743,5.55111512312578e-17,0.938402188495981,3
"richness_2050",0.0291253625486454,0.642900821507613,0.00735490580334492,0.0276857392179182,0.0350406450212632,0.20989641597299,0.79010358402701,0,0.954696958575436,3
"temp_2050",0.0517423069141221,0.777326446093831,0.0034843962656679,0.0527215286472439,0.0562059249129118,0.0619933978680502,0.93800660213195,1.11022302462516e-16,0.933435550566774,3
"cover_2100",0.0200634614791813,0.405967216765252,0.00686051008318548,0.00807364295084144,0.0200634614791813,0.341940501657914,0.402405285808683,0.255654212533403,0.950578616571439,3
"richness_2100",0.0477497131539281,0.502073309135185,0.000911443114849304,0.0468307658697711,0.0477497131539281,0.0190879285894584,0.980754915088291,0.000157156322250218,0.904894938079508,3
