"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"cover_2050",0.0121419671810383,0.565095610091518,0.00674458205422847,0.00706728953328142,0.0138118715875099,0.48831774980645,0.51168225019355,0,0.978513428587648,1
"richness_2050",0.0226045318113785,0.566051248157577,0.00222458473973856,0.022242188143716,0.0244667728834546,0.0909226872843092,0.909077312715691,1.11022302462516e-16,0.960066280420804,1
"temp_2050",0.0493873039385199,0.815682532814157,0.00412105759580298,0.0496653343351881,0.053786391930991,0.0766189634190442,0.923381036580956,0,0.939452787142406,1
"cover_2100",0.0161033255544777,0.376239913099792,0.00382695610796499,0.0092260449689135,0.0161033255544777,0.237650049054673,0.572927929557266,0.189422021388061,0.957199316197464,1
"richness_2100",0.0442166615618933,0.44414616493808,0.00137163257973759,0.0430445783622831,0.0444162109420207,0.0308813505395152,0.969118649460485,0,0.900445697717422,1
"temp_2100",0.118230955243129,0.667181484986661,0.00601558393443486,0.116146885748623,0.122162469683058,0.0492424878937194,0.95075751210628,1.11022302462516e-16,0.822790413247914,1
"cover_2050",0.00932080722760236,0.555996048608236,0.00417055767719599,0.00620157528718297,0.010372132964379,0.402092577439852,0.597907422560148,0,0.983235839083867,2
"richness_2050",0.0211728269220967,0.565257476964735,0.00145656992229074,0.0209576591432491,0.0224142290655399,0.0649841633201697,0.93501583667983,0,0.962543039614817,2
"temp_2050",0.0489480895446474,0.817910091917547,0.00310651400048372,0.0491215966261838,0.0522281106266675,0.0594797315700243,0.940520268429976,0,0.940154682001916,2
"cover_2100",0.0188427465650702,0.392937513307337,0.00453787328369161,0.00978781758486943,0.0188427465650702,0.240828653509765,0.519447499390222,0.239723847100013,0.95204645541101,2
"richness_2100",0.0440441957626636,0.444495594435888,0.00114981683454161,0.0431596417838344,0.044309458618376,0.0259496926930351,0.974050307306965,1.11022302462516e-16,0.90091196332652,2
"temp_2100",0.117987994431027,0.670334913218508,0.00659699403572979,0.116063793026903,0.122660787062633,0.0537824205576085,0.946217579442391,0,0.823986499726643,2
"cover_2050",0.0295286936686571,0.479378941356227,0.0255854883032506,0.00915605591021136,0.034741544213462,0.736452247086257,0.263547752913743,5.55111512312578e-17,0.938402188495981,3
"richness_2050",0.0238691683716217,0.56479480745718,0.00566834515639057,0.022503177549492,0.0281715227058826,0.201208334230614,0.798791665769386,0,0.957738336017844,3
"temp_2050",0.0507363223544955,0.806284866979186,0.00325222673324151,0.0516545601505216,0.0549067868837631,0.0592317802192,0.9407682197808,0,0.937073949378979,3
"cover_2100",0.0200634614791813,0.405967216765252,0.00686051008318548,0.00807364295084144,0.0200634614791813,0.341940501657914,0.402405285808683,0.255654212533403,0.950578616571439,3
